text_lower,sbc001,sbc002,sbc003,sbc004,sbc005,sbc006,sbc007,sbc008,sbc009,sbc010,sbc011,sbc012,sbc013,sbc014,sbc015,sbc016,sbc017,sbc018,sbc019,sbc020,sbc021,sbc022,sbc023,sbc024,sbc025,sbc026,sbc027,sbc028,sbc029,sbc030,sbc031,sbc032,sbc033,sbc034,sbc035,sbc036,sbc037,sbc038,sbc039,sbc040,sbc041,sbc042,sbc043,sbc044,sbc045,sbc046,sbc047,sbc048,sbc049,sbc050,sbc051,sbc052,sbc053,sbc054,sbc055,sbc056,sbc057,sbc058,sbc059,sbc060,sd,vbar,D,U,Urank
get,38,8,9,18,7,14,13,15,21,8,4,14,28,22,21,12,11,6,20,2,19,13,7,23,4,9,7,10,27,10,23,22,2,15,34,13,9,7,13,8,7,21,37,12,17,12,25,9,22,7,19,24,4,2,6,21,30,15,27,8,8.821823863078793,14.85,0.9226596874344193,822.0897815040676,56
about,17,14,14,9,33,20,20,12,7,13,7,19,13,10,17,16,13,10,24,13,32,5,34,2,1,13,10,23,22,21,35,21,29,6,9,20,9,13,16,13,10,7,11,17,15,10,12,3,5,8,11,35,15,3,11,19,5,3,21,26,8.493866181655113,14.7,0.9247750212104403,815.6515687076082,57
up,10,16,15,21,3,33,34,15,3,3,22,2,18,26,22,17,15,5,8,9,19,6,19,5,7,9,22,17,15,14,11,24,2,4,16,16,11,22,12,12,6,14,21,15,15,9,8,4,25,11,23,21,6,20,7,20,37,18,25,6,8.232823241821329,14.516666666666667,0.9261660877967622,806.69066247098,58
mhm,4,19,31,4,0,2,39,56,18,57,14,5,13,26,6,116,10,6,12,0,1,17,110,0,0,1,0,6,3,0,13,55,5,32,2,9,2,2,38,1,57,3,24,9,8,10,1,11,10,13,26,9,3,0,2,10,7,16,16,0,23.600608054983915,16.166666666666668,0.8099461364228692,785.6477523301832,59
would,20,11,12,12,9,12,11,19,5,14,11,14,11,29,73,26,3,14,16,2,15,6,20,2,8,21,16,44,35,4,16,9,0,21,9,24,2,8,13,7,23,14,13,30,13,9,5,3,21,8,19,9,31,6,13,10,8,11,13,8,11.553107538031087,14.516666666666667,0.8963889904371563,780.7548106707632,60
think,13,17,18,4,8,8,10,21,3,31,18,22,31,9,33,17,20,8,20,10,10,13,47,9,3,20,11,28,19,3,15,17,17,13,12,27,10,1,11,5,13,6,17,37,10,18,10,5,8,11,11,13,4,1,11,9,7,22,20,5,9.193156383625013,14.166666666666666,0.9155166810780788,778.1891789163669,61
go,32,14,11,25,4,43,17,13,3,4,12,5,21,7,37,12,5,5,27,4,16,10,4,16,8,7,6,16,21,11,10,10,4,7,44,23,11,4,19,0,7,14,41,19,22,5,19,20,10,6,17,6,7,5,7,22,26,13,20,6,10.292337119907728,14,0.9042894170651217,759.6031103347023,62
um,11,4,30,11,3,18,13,92,9,10,5,18,7,17,33,76,15,22,3,8,7,18,3,3,19,44,0,24,0,0,11,22,2,7,6,32,1,0,36,10,54,6,7,6,10,1,5,5,8,8,15,19,21,7,4,22,1,20,9,2,17.217124572096047,14.666666666666666,0.8471719069366568,745.5112781042579,63
gon,17,7,10,9,1,25,14,9,12,28,3,7,42,28,10,20,11,5,16,0,22,4,3,33,4,23,2,11,29,21,17,18,3,5,18,22,18,2,8,0,18,22,30,14,12,6,27,7,8,10,5,11,8,1,0,20,31,9,21,6,9.798117540866345,13.383333333333333,0.9046869549957037,726.46362486155,64
here,7,11,18,3,6,10,6,19,11,5,1,8,14,17,7,13,1,4,20,6,7,2,3,6,7,8,37,14,49,8,6,19,4,8,16,16,27,35,24,14,5,9,12,19,15,14,5,16,11,12,19,12,20,7,5,32,47,32,8,5,10.529967995616158,13.366666666666667,0.8974400199990875,719.7468960392681,65
when,10,13,10,7,8,13,13,33,10,4,6,11,14,9,25,5,8,3,13,15,14,19,26,3,12,10,10,8,6,10,21,31,9,3,15,16,17,6,20,15,5,12,25,34,11,17,7,6,11,9,15,15,9,14,11,15,9,7,25,6,7.210789154176449,12.733333333333333,0.9262750167046151,707.6741127623259,66
see,11,2,13,4,7,18,4,19,17,13,4,3,12,14,19,14,9,9,10,23,20,5,17,11,18,5,25,12,26,8,10,24,2,6,16,13,9,9,21,7,17,10,9,19,12,22,11,10,9,5,10,21,7,8,11,24,19,10,18,7,6.328484614354711,12.466666666666667,0.933911883414299,698.5660887938957,67
can,14,12,16,27,5,10,5,19,18,14,14,9,26,11,6,25,18,3,15,11,9,15,9,18,23,13,11,9,37,2,13,4,4,9,19,9,9,5,11,6,12,10,25,10,9,15,4,16,10,13,15,8,5,6,6,15,21,9,11,3,6.878772719336916,12.266666666666667,0.9269940275096408,682.2676042470956,68
got,13,7,7,13,6,16,8,13,9,5,8,2,18,13,21,5,6,13,14,4,6,14,7,20,1,9,2,9,31,8,11,25,3,11,17,4,10,4,6,4,5,7,14,9,15,20,30,16,11,13,10,70,5,17,1,24,19,22,29,22,10.527284968763757,12.7,0.8920837979788858,679.767854059911,69
said,7,8,17,1,19,42,21,11,0,20,14,4,8,12,14,2,0,0,5,6,7,7,13,0,13,9,0,12,1,6,30,41,21,21,24,19,6,0,0,4,2,4,49,59,8,1,4,1,23,10,7,20,15,55,24,21,0,12,10,7,13.580176230103863,12.95,0.8634758027548346,670.9206987405064,70
really,40,37,27,20,9,21,18,8,2,13,7,2,26,7,28,15,8,2,14,2,18,16,8,7,3,3,4,26,15,5,19,18,2,6,18,19,4,0,9,2,19,5,17,30,9,12,5,8,10,10,17,9,4,4,6,16,3,19,20,8,9.127146446720738,12.316666666666666,0.9035247694510634,667.7048046243359,71
your,16,4,12,10,8,6,4,24,1,3,12,12,36,2,10,21,5,1,19,12,19,6,0,6,4,13,6,7,12,4,26,9,5,6,20,17,17,9,6,3,19,20,20,15,6,30,10,5,13,6,17,7,16,3,11,10,41,19,11,3,8.497839539327522,11.583333333333334,0.9044899733541149,628.6205314811098,72
'll,8,10,13,14,1,13,2,23,4,9,6,4,35,32,13,13,19,11,15,4,8,12,2,4,5,6,3,6,13,4,8,10,12,6,21,13,8,4,28,8,5,9,27,18,14,11,21,24,14,6,14,8,2,2,6,19,5,14,20,9,7.726906544391663,11.3,0.9109772081181459,617.642547104103,73
now,6,8,9,6,2,16,6,5,6,4,9,11,13,9,15,10,5,1,11,6,4,5,9,29,9,4,23,9,18,6,14,27,7,7,9,8,3,16,13,6,7,11,10,16,12,4,11,24,18,4,13,10,21,9,16,24,38,8,18,4,7.257880968863576,11.033333333333333,0.9143599136527375,605.3062628381122,74
were,13,15,16,12,4,20,10,10,1,5,13,18,11,2,6,2,7,2,10,6,33,6,23,2,6,9,2,12,3,20,17,14,6,9,12,33,10,5,23,2,6,3,21,20,18,10,12,0,7,16,21,17,13,6,3,5,2,6,17,28,7.883670457788406,11.016666666666667,0.9068351160576854,599.4180117141301,75
him,6,13,2,9,1,24,18,25,0,7,9,0,6,7,16,5,0,14,12,23,19,6,10,4,19,1,1,4,0,28,18,8,0,2,2,40,10,0,2,18,0,0,10,45,9,2,6,1,10,6,3,15,21,19,7,57,35,10,20,11,11.809026519770068,11.266666666666667,0.8635439968326154,583.7557418588481,76
mean,41,38,13,14,27,11,8,5,11,18,4,11,11,8,23,14,20,1,4,1,14,20,19,2,4,7,0,15,11,1,11,2,3,4,14,39,5,1,4,0,1,3,24,19,16,17,11,2,6,6,17,10,1,1,2,9,6,3,24,6,9.700762973080366,10.716666666666667,0.8821525567202085,567.2240939710941,77
his,0,9,5,10,1,24,6,7,0,2,3,4,4,22,23,2,3,4,9,30,19,3,15,1,32,1,0,1,0,50,14,6,0,0,0,38,12,0,1,49,0,0,16,31,12,0,8,2,11,3,9,13,9,15,5,32,33,12,15,14,12.38939769081786,10.833333333333334,0.8511111821776082,553.2222684154453,78
