"word","model_type","back","hurdle_place","mu_mean","phi_mean","theta_mean","lambda_mean","psi_intercept_mean","psi_slope_mean","alpha_intercept_mean","alpha_slope_mean","waic","waic_scaled"
"come","gen",TRUE,NA,5.71539163,6.775099847,2.793763316,0.3618039,NA,NA,NA,NA,2756.864111,8.482658802
"could","hurdle",FALSE,1,5.773977609,13.01851868,1.353300936,0.335901258,1.080708305,-0.238242503,1.024449486,-0.511577246,3852.790906,8.19742746
"day","gen",TRUE,NA,6.207465102,8.531752069,1.082698407,0.894691528,NA,NA,NA,NA,1528.870212,8.219732321
"did","gen",FALSE,NA,5.494685688,10.18277449,1.57399997,0.339596251,NA,NA,NA,NA,9962.52208,8.053776944
"different","hurdle",TRUE,-2,5.380405783,10.27273402,3.372125849,0.306496569,2.755244079,-0.440713713,2.162081711,-0.467963425,1371.442051,7.973500297
"do","gen",FALSE,NA,5.891912632,11.93435902,2.02278878,0.587588733,NA,NA,NA,NA,22647.7477,8.425501377
"does","gen",FALSE,NA,5.473100051,11.05183615,1.501211712,0.383072512,NA,NA,NA,NA,3554.760875,8.042445419
"doing","gen",TRUE,NA,6.23437634,16.3415689,1.65722606,0.633274329,NA,NA,NA,NA,2253.18952,8.407423584
"down","gen",TRUE,NA,5.760124253,10.06493639,1.767263894,0.801293164,NA,NA,NA,NA,3470.243146,8.341930639
"em","hurdle",TRUE,-1,5.929458304,11.04269825,2.201204287,0.33261202,1.247893856,-0.236422878,NA,NA,3336.088802,8.000212955
"even","gen",FALSE,NA,5.982295692,13.25962996,2.23077434,0.466903897,NA,NA,NA,NA,2033.305309,8.543299618
"every","hurdle",FALSE,-2,5.243779579,3.804492734,1.482670017,0.759629794,1.401692353,-0.375551557,1.318492441,-1.113018589,1173.146215,8.261593063
"everything","hurdle",TRUE,-1,4.446874109,4.33035692,3.361800465,0.1483636,0.741305872,-0.126699207,NA,NA,1251.720274,7.540483576
"first","gen",FALSE,NA,5.763971833,6.756448219,3.358882678,0.86957441,NA,NA,NA,NA,1934.642911,8.675528747
"five","gen",TRUE,NA,5.234256228,4.60906978,2.073401067,0.31255859,NA,NA,NA,NA,1292.131632,8.230137785
"for","gen",TRUE,NA,6.107696151,8.786596521,2.519000458,0.29183224,NA,NA,NA,NA,11990.91595,8.53445975
"four","gen",TRUE,NA,5.229235807,4.121636045,2.134896369,0.484643702,NA,NA,NA,NA,1316.978066,8.335304213
"from","gen",TRUE,NA,5.454940688,7.077121029,2.455958381,0.296395667,NA,NA,NA,NA,4930.273425,8.258414448
"get","hurdle",FALSE,0,6.30915610878184,16.3177016291006,4.03899556013826,0.438019886626057,0.204121768031024,-0.645583315244604,NA,NA,7420.96912297227,8.32880934115856
"getting","gen",TRUE,NA,6.072172004,22.35830921,2.757312355,0.301523643,NA,NA,NA,NA,1137.770083,8.244710743
"go","gen",TRUE,NA,5.978686335,9.086663314,2.677710097,0.767900279,NA,NA,NA,NA,7277.550556,8.663750662
"god","hurdle",TRUE,-1,4.091757269,2.021078925,5.725050095,0.47037877,2.029932104,-0.41261958,NA,NA,2442.10832,7.422821642
"goes","gen",FALSE,NA,4.746092516,8.977430909,2.945230148,0.298401623,NA,NA,NA,NA,1435.099965,7.799456334
"going","gen",TRUE,NA,6.40895131,12.95239973,2.461528945,0.663103163,NA,NA,NA,NA,3182.853958,8.768192721
"gon","gen",FALSE,NA,7.57986297,62.16715535,3.297288688,0.014874832,NA,NA,NA,NA,6589.893218,8.206591803
"good","gen",TRUE,NA,4.151770953,3.849443089,1.512932727,0.839786669,NA,NA,NA,NA,4269.611481,7.451328937
"got","gen",FALSE,NA,5.660078698,26.97975554,2.466778794,0.168646024,NA,NA,NA,NA,6060.86582,7.953892152
"guess","hurdle",FALSE,1,5.156603808,3.851174435,2.407654383,0.405581408,1.610680982,-0.165627474,-0.03346343,-0.294264942,1226.321213,7.861033418
"guy","gen",TRUE,NA,5.79624417,9.409982821,1.92053609,0.906178174,NA,NA,NA,NA,1743.627352,8.505499278
"had","hurdle",FALSE,1,6.008180991,15.15550914,1.962921715,0.324747908,0.939795491,-0.255015694,-0.712037882,-0.354218861,7805.865984,8.321818746
"has","gen",FALSE,NA,5.88125973,11.56344198,2.155920707,0.384197326,NA,NA,NA,NA,3022.705519,8.396404219
"have","gen",FALSE,NA,6.193216295,30.86943482,2.73167524,0.222364046,NA,NA,NA,NA,15771.85326,8.292246722
"he","gen",FALSE,NA,5.120000529,7.944980586,0.957030454,0.590725958,NA,NA,NA,NA,23472.49976,7.601198107
"her","gen",TRUE,NA,5.822689843,11.11849648,1.670746693,0.798991162,NA,NA,NA,NA,5207.412604,8.292058287
"here","gen",TRUE,NA,5.253146443,5.490027595,0.725331117,0.936065965,NA,NA,NA,NA,5922.070779,7.393346791
"him","hurdle",TRUE,-1,6.100947812,12.99417296,2.345301087,0.341949692,1.449197606,-0.263147348,NA,NA,5431.628761,8.034953789
"how","hurdle",FALSE,0,5.677322587,9.433911222,2.677258465,0.142621277,2.084794126,-0.402633564,NA,NA,4670.445668,7.902615343
"i","gen",FALSE,NA,5.150052311,6.534463093,0.702890887,0.62792213,NA,NA,NA,NA,70859.34177,7.339894528
"if","gen",FALSE,NA,5.995471094,11.67808639,0.991757505,0.89576451,NA,NA,NA,NA,8206.914027,7.823559607
"in","gen",TRUE,NA,5.978893108,9.93994026,2.477274752,0.256898678,NA,NA,NA,NA,24675.83798,8.416042968
"into","gen",TRUE,NA,6.35628406,20.86513431,2.665801075,0.152491165,NA,NA,NA,NA,2461.03252,8.314299054
"is","gen",FALSE,NA,4.885425917,8.048623368,2.517727863,0.905049044,NA,NA,NA,NA,19660.59089,8.008387328
"it","hurdle",FALSE,-1,5.057826033,11.25532968,2.009708508,0.968156929,-0.678816677,-0.124529484,NA,NA,48933.94728,8.016701718
"just","gen",FALSE,NA,5.088157119,7.199874184,1.922379819,0.265201685,NA,NA,NA,NA,13274.85757,7.996902153
"kind","gen",FALSE,NA,6.137347193,17.59398979,2.941378423,0.547933809,NA,NA,NA,NA,1663.200456,8.529233106
"kinda","gen",TRUE,NA,4.974702308,8.284904534,2.751324706,0.33339593,NA,NA,NA,NA,1362.521699,8.014833521
"know","gen",FALSE,NA,3.305475735,2.287004622,3.646518783,0.004869811,NA,NA,NA,NA,16737.39554,6.430040544
"let","gen",FALSE,NA,5.373349315,13.40904178,0.798635296,0.868828495,NA,NA,NA,NA,2454.379983,7.283026656
"like","gen",FALSE,NA,4.659239261,5.329958093,3.404419661,0.637782808,NA,NA,NA,NA,18185.20756,7.958515343
"little","hurdle",TRUE,-2,6.139285227,14.37114866,2.455379351,0.221183722,1.595374885,-0.331129725,0.950885069,-0.68779258,3906.295367,8.258552573
"long","hurdle",FALSE,1,6.49516800517766,9.08133843274094,3.2273165687769,0.43676815923746,0.645307244318321,-0.24311503194519,2.07113419401267,-0.497341853451062,1355.71629922172,8.91918617909028
"look","gen",FALSE,NA,4.915470926,8.916200882,2.445166799,0.824862761,NA,NA,NA,NA,2438.79018,8.075464172
"lot","gen",FALSE,NA,6.835415392,18.24274543,4.18902428,0.391574105,NA,NA,NA,NA,2217.070538,8.694394265
"make","gen",FALSE,NA,6.156537336,21.08193539,3.080839512,0.473190065,NA,NA,NA,NA,2495.14998,8.458135527
"maybe","gen",FALSE,NA,5.052457483,4.770668203,0.962067778,0.896862524,NA,NA,NA,NA,1945.522629,7.629500506
"me","gen",TRUE,NA,5.633222886,9.692877686,1.645292915,0.95221815,NA,NA,NA,NA,8954.162354,8.237499865
"mean","hurdle",FALSE,1,3.80859406,3.712226236,5.227806112,0.056821136,1.634369636,-0.10631906,-1.722878078,-1.57107148,4019.152038,6.260361431
"mhm","gen",FALSE,NA,0.012380893,8.01677695,2.057450396,0.4892086,NA,NA,NA,NA,66.48692641,0.068543223
"mm","gen",TRUE,NA,0.945633243,0.135588914,2.395207372,0.876881944,NA,NA,NA,NA,996.5903369,2.636482373
"mom","hurdle",FALSE,-1,3.327571018,1.181465047,1.902729022,0.749348301,2.124000075,-0.483802931,NA,NA,1153.388845,6.948125575
"more","gen",TRUE,NA,5.836007546,10.08037865,2.046065237,0.6669774,NA,NA,NA,NA,3179.047767,8.477460711
"much","hurdle",TRUE,-1,6.103218384,9.616156228,2.903159452,0.375469904,1.221035923,-0.36302743,NA,NA,2606.304212,8.57336912
"my","hurdle",TRUE,-2,5.227654865,8.760080938,4.525107798,0.215292741,0.907943305,-0.187847394,0.598634072,-0.81850885,7961.299102,7.977253609
"n't","gen",FALSE,NA,6.041808154,19.52933641,3.022191234,0.003478697,NA,NA,NA,NA,24804.67116,7.91217581
"na","gen",FALSE,NA,7.323251321,56.71574033,4.543270193,0.008325256,NA,NA,NA,NA,8958.840763,8.234228643
"need","hurdle",FALSE,1,5.861848254,18.19706973,2.535652417,0.197149893,1.294387982,-0.332959919,-1.017182728,-1.10696817,1627.213753,7.976538004
"never","gen",FALSE,NA,5.126503089,10.27833315,2.170934714,0.044986113,NA,NA,NA,NA,1885.997069,7.697947222
"new","hurdle",TRUE,-2,5.443869658,11.94545134,2.643346097,0.123197451,1.393316014,-0.2124613,0.447549485,-0.4573908,1780.646478,7.775748811
"no","gen",FALSE,NA,1.875387554,0.501898981,1.845690069,0.902632912,NA,NA,NA,NA,5816.341767,4.984011797
"not","gen",FALSE,NA,5.342674177,10.41697891,2.433766191,0.356846513,NA,NA,NA,NA,8925.705827,8.173723285
"now","hurdle",FALSE,0,4.66863136967925,2.54620934934254,0.732775312980121,0.873224389891907,0.955728636217102,-0.197595494469253,NA,NA,4953.61091908035,7.48279595027243
"of","hurdle",TRUE,-2,6.685849618,15.16198384,2.112413382,0.334150615,1.21046363,-0.289461786,-0.033559405,-0.473497082,28170.98996,8.601828994
"off","gen",TRUE,NA,6.043953382,20.68267473,1.531768243,0.804543582,NA,NA,NA,NA,2038.555804,8.186971101
"oh","gen",FALSE,NA,1.3198141,0.680886966,0.126999324,0.907833054,NA,NA,NA,NA,5860.509341,3.457527635
"okay","gen",FALSE,NA,0.634565223,0.127775428,3.046571702,0.848446475,NA,NA,NA,NA,2440.678991,2.235054021
"on","gen",TRUE,NA,6.211742373,10.74416028,2.117869899,0.276126485,NA,NA,NA,NA,13224.55841,8.488163292
"one","gen",TRUE,NA,5.727449502,8.546289887,3.073936884,0.949035073,NA,NA,NA,NA,10170.33442,8.604343844
"only","gen",FALSE,NA,6.009954539,12.97530613,2.3364066,0.121975756,NA,NA,NA,NA,1821.340971,8.241361859
"or","hurdle",TRUE,0,4.317891652,2.431995959,1.772763375,0.208982716,2.483997324,-0.468712129,NA,NA,8193.906122,7.225666775
